trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
64,False,"{'a': 0.2, 'e': 0.9359999999999999}",25,2,-51.19484525299366,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 1}",1
65,False,"{'a': 0.2, 'e': 0.9349999999999999}",25,0,-162.19610891781878,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
66,False,"{'a': 0.2, 'e': 0.9339999999999999}",20,0,-113.29587239933574,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
67,False,"{'a': 0.2, 'e': 0.9329999999999999}",20,9,-63.16732013549067,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 1}",1
68,False,"{'a': 0.2, 'e': 0.9319999999999999}",20,0,-124.10423864611123,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
69,False,"{'a': 0.2, 'e': 0.9309999999999999}",20,12,-49.98768413522096,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
70,False,"{'a': 0.2, 'e': 0.9299999999999999}",30,0,-129.27572378324848,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
71,False,"{'a': 0.2, 'e': 0.9289999999999999}",30,0,-242.50196365467056,"{0: 16, 1: 2, 2: 7, 3: 1, 4: 4}",0
72,False,"{'a': 0.2, 'e': 0.9279999999999999}",20,0,-153.14765421627953,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
73,False,"{'a': 0.2, 'e': 0.9269999999999999}",25,0,-156.3042519628744,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
74,False,"{'a': 0.2, 'e': 0.9259999999999999}",30,0,-149.06087725276257,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
75,False,"{'a': 0.2, 'e': 0.9249999999999999}",30,0,-131.84429772603144,"{0: 15, 1: 5, 2: 9, 3: 0, 4: 1}",0
76,False,"{'a': 0.2, 'e': 0.9239999999999999}",20,0,-39.403727967949266,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
77,False,"{'a': 0.2, 'e': 0.9229999999999999}",30,0,-167.4044384152271,"{0: 20, 1: 1, 2: 4, 3: 3, 4: 2}",0
78,False,"{'a': 0.2, 'e': 0.9219999999999999}",25,0,-21.142386507274217,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
79,False,"{'a': 0.2, 'e': 0.9209999999999999}",25,0,-117.39242305184241,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
80,False,"{'a': 0.2, 'e': 0.9199999999999999}",20,0,-139.98416203668526,"{0: 10, 1: 0, 2: 7, 3: 2, 4: 1}",0
81,False,"{'a': 0.2, 'e': 0.9189999999999999}",20,0,-49.07821608950091,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
82,False,"{'a': 0.2, 'e': 0.9179999999999999}",35,0,-47.5286703828373,"{0: 27, 1: 4, 2: 3, 3: 1, 4: 0}",0
83,False,"{'a': 0.2, 'e': 0.9169999999999999}",30,0,-181.65791752112608,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
84,False,"{'a': 0.2, 'e': 0.9159999999999999}",20,5,-105.70360103831297,"{0: 7, 1: 2, 2: 3, 3: 2, 4: 1}",1
85,False,"{'a': 0.2, 'e': 0.9149999999999999}",30,0,-211.95656487178024,"{0: 18, 1: 2, 2: 5, 3: 1, 4: 4}",0
86,False,"{'a': 0.2, 'e': 0.9139999999999999}",20,8,-93.73105254393262,"{0: 6, 1: 0, 2: 4, 3: 1, 4: 1}",1
87,False,"{'a': 0.2, 'e': 0.9129999999999999}",25,0,-110.58679022188633,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
88,False,"{'a': 0.2, 'e': 0.9119999999999999}",20,0,-127.04324793666626,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
89,False,"{'a': 0.2, 'e': 0.9109999999999999}",25,0,-31.242495768767554,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
90,False,"{'a': 0.2, 'e': 0.9099999999999999}",30,0,-151.35801999132934,"{0: 21, 1: 2, 2: 4, 3: 0, 4: 3}",0
91,False,"{'a': 0.2, 'e': 0.9089999999999999}",25,0,-98.03028061223435,"{0: 19, 1: 0, 2: 2, 3: 3, 4: 1}",0
92,False,"{'a': 0.2, 'e': 0.9079999999999999}",20,0,-67.12355113606174,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
93,False,"{'a': 0.2, 'e': 0.9069999999999999}",20,0,-89.96066619081391,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
94,False,"{'a': 0.2, 'e': 0.9059999999999999}",20,0,-71.68341467273017,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
95,False,"{'a': 0.2, 'e': 0.9049999999999999}",25,1,-196.85336177035205,"{0: 10, 1: 3, 2: 7, 3: 2, 4: 2}",1
96,False,"{'a': 0.2, 'e': 0.9039999999999999}",20,0,-83.40441553733582,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
97,False,"{'a': 0.2, 'e': 0.9029999999999999}",20,0,-55.783434926289374,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
98,False,"{'a': 0.2, 'e': 0.9019999999999999}",25,2,-74.68290085025548,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 1}",1
99,False,"{'a': 0.2, 'e': 0.9009999999999999}",20,6,-12.558744567371777,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
100,False,"{'a': 0.2, 'e': 0.8999999999999999}",30,0,-153.2378702803717,"{0: 18, 1: 5, 2: 3, 3: 2, 4: 2}",0
101,False,"{'a': 0.2, 'e': 0.8989999999999999}",20,0,-115.47553679303145,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
102,False,"{'a': 0.2, 'e': 0.8979999999999999}",25,0,-142.97983988075325,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
103,False,"{'a': 0.2, 'e': 0.8969999999999999}",25,0,-93.58389007637525,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
104,False,"{'a': 0.2, 'e': 0.8959999999999999}",20,0,-66.62974391734896,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
105,False,"{'a': 0.2, 'e': 0.8949999999999999}",25,0,-64.40132461468193,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
106,False,"{'a': 0.2, 'e': 0.8939999999999999}",25,0,-74.94946882319566,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
107,False,"{'a': 0.2, 'e': 0.8929999999999999}",25,8,-2.270431728673013,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.2, 'e': 0.8919999999999999}",25,0,-176.20696726721457,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
109,False,"{'a': 0.2, 'e': 0.8909999999999999}",25,0,-92.84489762260203,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
110,False,"{'a': 0.2, 'e': 0.8899999999999999}",35,0,-138.93108773708948,"{0: 23, 1: 1, 2: 8, 3: 2, 4: 1}",0
111,False,"{'a': 0.2, 'e': 0.8889999999999999}",20,0,-151.04060880336863,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 2}",0
112,False,"{'a': 0.2, 'e': 0.8879999999999999}",30,0,-36.71607466629116,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
113,False,"{'a': 0.2, 'e': 0.8869999999999999}",20,0,-113.34595900946323,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
114,False,"{'a': 0.2, 'e': 0.8859999999999999}",25,0,-116.91582068788234,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
115,False,"{'a': 0.2, 'e': 0.8849999999999999}",25,0,-55.079332553117204,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
116,False,"{'a': 0.2, 'e': 0.8839999999999999}",25,0,-178.12260684948555,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 4}",0
117,False,"{'a': 0.2, 'e': 0.8829999999999999}",20,0,-87.31634938677561,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
118,False,"{'a': 0.2, 'e': 0.8819999999999999}",20,0,-128.5758889092988,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
119,False,"{'a': 0.2, 'e': 0.8809999999999999}",20,0,-70.47249394914263,"{0: 9, 1: 5, 2: 6, 3: 0, 4: 0}",0
120,False,"{'a': 0.2, 'e': 0.8799999999999999}",35,0,-186.87218109254727,"{0: 24, 1: 1, 2: 5, 3: 2, 4: 3}",0
121,False,"{'a': 0.2, 'e': 0.8789999999999999}",25,0,-42.7797602972244,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",0
122,False,"{'a': 0.2, 'e': 0.8779999999999999}",20,0,-61.615333052955,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
123,False,"{'a': 0.2, 'e': 0.8769999999999999}",25,0,-37.813373995614405,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
124,False,"{'a': 0.2, 'e': 0.8759999999999999}",20,8,-24.75445764942202,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
125,False,"{'a': 0.2, 'e': 0.8749999999999999}",25,0,-54.874243369184356,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
126,False,"{'a': 0.2, 'e': 0.8739999999999999}",25,0,-133.8841731750262,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
127,False,"{'a': 0.2, 'e': 0.8729999999999999}",20,9,-15.088318292788731,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
128,False,"{'a': 0.2, 'e': 0.8719999999999999}",20,0,-93.0513829028927,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
129,False,"{'a': 0.2, 'e': 0.8709999999999999}",30,0,-243.94623772155248,"{0: 16, 1: 2, 2: 7, 3: 1, 4: 4}",0
130,False,"{'a': 0.2, 'e': 0.8699999999999999}",30,0,-148.38024792669978,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
131,False,"{'a': 0.2, 'e': 0.8689999999999999}",25,0,-125.34451776513399,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
132,False,"{'a': 0.2, 'e': 0.8679999999999999}",20,0,-73.00670151448944,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
133,False,"{'a': 0.2, 'e': 0.8669999999999999}",20,0,-24.48708476969871,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
134,False,"{'a': 0.2, 'e': 0.8659999999999999}",20,0,-92.02681220577172,"{0: 12, 1: 0, 2: 5, 3: 3, 4: 0}",0
135,False,"{'a': 0.2, 'e': 0.8649999999999999}",20,0,-47.541468673093064,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
136,False,"{'a': 0.2, 'e': 0.8639999999999999}",25,0,-109.18376408779281,"{0: 13, 1: 6, 2: 5, 3: 0, 4: 1}",0
137,False,"{'a': 0.2, 'e': 0.8629999999999999}",20,0,-148.96214226799054,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
138,False,"{'a': 0.2, 'e': 0.8619999999999999}",20,0,-137.29745570012813,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
139,False,"{'a': 0.2, 'e': 0.8609999999999999}",20,0,-168.4915627474179,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 4}",0
